word,frequency
smiles,52.0
whenever,52.0
story,52.0
past,52.0
change,52.0
called,52.0
sharing,52.0
point,51.0
excited,51.0
didn't,51.0
na,51.0
ill,51.0
let's,50.0
signs,50.0
soon,50.0
taking,50.0
ago,50.0
seen,50.0
win,50.0
kids,49.0
shall,49.0
saw,49.0
rest,49.0
strength,49.0
working,49.0
definitely,49.0
season,48.0
h,48.0
children,48.0
ok,48.0
money,48.0
retweet,48.0
hate,47.0
omg,47.0
ride,47.0
yours,47.0
blue,47.0
rn,47.0
pls,47.0
men,47.0
blessings,47.0
mine,47.0
7,47.0
pretty,46.0
might,46.0
kindness,46.0
means,46.0
wanna,46.0
woman,46.0
power,46.0
p,46.0
army,46.0
f,46.0
posting,46.0
become,46.0
performance,46.0
youve,46.0
shit,46.0
original,45.0
yet,45.0
used,45.0
lost,45.0
yeah,45.0
yall,45.0
claim,45.0
awesome,45.0
top,45.0
moments,44.0
set,44.0
j,44.0
r,44.0
mean,44.0
news,44.0
else,44.0
we're,44.0
self,44.0
child,44.0
absolutely,44.0
sending,44.0
sorrow,44.0
ji,44.0
positive,43.0
tomorrow,43.0
laugh,43.0
],43.0
he's,43.0
human,43.0
started,43.0
ones,43.0
wow,43.0
guy,43.0
sadness,43.0
emotions,43.0
favorite,42.0
success,42.0
x,42.0
ig,42.0
sars,42.0
idea,42.0
amount,42.0
walk,42.0
country,42.0
they're,42.0
steve,42.0
you've,42.0
@justplainzack,42.0
exists,42.0
listening,42.0
deep,42.0
faith,41.0
hours,41.0
simple,41.0
given,41.0
left,41.0
cannot,41.0
jumping,41.0
celebrate,41.0
reading,41.0
took,41.0
open,41.0
kill,40.0
against,40.0
least,40.0
yo,40.0
rain,40.0
album,40.0
thoughts,40.0
house,40.0
wendy,40.0
knowing,40.0
waiting,40.0
women,40.0
president,40.0
cat,40.0
protest,40.0
singing,40.0
form,39.0
gratitude,39.0
pleasure,39.0
unflatteringcatphotochallenge,39.0
super,39.0
hobi,39.0
says,39.0
turn,39.0
covid,39.0
probably,39.0
came,39.0
sir,39.0
welcome,39.0
turning,38.0
&lt,38.0
almost,38.0
voice,38.0
@joebiden,38.0
thinking,38.0
honestly,38.0
perfect,38.0
endpolicebrutality,38.0
different,38.0
young,38.0
buy,38.0
account,38.0
spirit,38.0
whatever,38.0
funny,38.0
greater,38.0
'hack',37.0
reason,37.0
irene,37.0
performing,37.0
club,37.0
join,37.0
alone,37.0
lets,37.0
redvelvet,37.0
unnie,37.0
beat,37.0
ha,37.0
much-needed,37.0
matter,37.0
late,37.0
body,37.0
shes,37.0
within,37.0
instead,36.0
@ericanlewedim,36.0
precious,36.0
word,36.0
yesterday,36.0
jo,36.0
pray,36.0
bc,36.0
hold,36.0
cute,36.0
doesn't,36.0
learn,35.0
wont,35.0
far,35.0
follow,35.0
dancing,35.0
cause,35.0
future,35.0
[ph,35.0
check,35.0
truth,35.0
add,35.0
wrong,35.0
@youtube,34.0
@joy_flavell,34.0
compare,34.0
fear,34.0
spark,34.0
gets,34.0
east,34.0
police,34.0
damn,34.0
loves,34.0
),34.0
thread,34.0
happiest,34.0
along,34.0
ready,34.0
isnt,34.0
comparison,34.0
food,34.0
months,34.0
@gucong_yamyam,34.0
steal,34.0
went,34.0
didnt,34.0
okay,34.0
choose,34.0
rock,34.0
hosted,33.0
needs,33.0
ego,33.0
hashtag,33.0
photo,33.0
