word,frequency
half,47.0
starting,46.0
believe,46.0
top,46.0
finally,46.0
doesnt,46.0
twitch,46.0
seen,46.0
sound,46.0
bet,46.0
meet,46.0
@,45.0
series,45.0
reading,45.0
&gt,45.0
couple,45.0
havent,45.0
god,45.0
2020,45.0
r,44.0
set,44.0
wasnt,44.0
here's,44.0
hair,44.0
event,44.0
mind,43.0
understand,43.0
black,43.0
book,43.0
told,42.0
welcome,42.0
absolutely,42.0
course,42.0
ha,42.0
boys,42.0
account,42.0
i'd,42.0
head,41.0
:d,41.0
word,41.0
left,41.0
seem,41.0
single,41.0
trip,41.0
fan,41.0
biden,41.0
instead,41.0
wont,41.0
vote,41.0
bring,41.0
deserve,41.0
seriously,41.0
october,41.0
dream,41.0
called,41.0
anyway,41.0
group,41.0
imagine,41.0
mad,40.0
pls,40.0
boring,40.0
wouldnt,40.0
interested,40.0
joke,40.0
others,40.0
came,40.0
fans,40.0
listen,40.0
second,40.0
interesting,39.0
beat,39.0
agree,39.0
found,39.0
rn,39.0
ride,39.0
feeling,39.0
food,39.0
three,39.0
comes,39.0
l,39.0
online,39.0
finished,39.0
vs,39.0
month,38.0
fine,38.0
6,38.0
videos,38.0
characters,38.0
liked,38.0
between,38.0
lost,38.0
she's,38.0
whats,37.0
virtual,37.0
women,37.0
crazy,37.0
car,37.0
p,37.0
till,37.0
popular,37.0
lasted,36.0
shows,36.0
face,36.0
ask,36.0
dead,36.0
decided,36.0
mine,36.0
g,36.0
sleep,36.0
c,36.0
enjoyed,35.0
water,35.0
took,35.0
reason,35.0
small,35.0
evening,35.0
unfortunately,35.0
lil,35.0
open,35.0
shes,35.0
exactly,35.0
living,35.0
question,35.0
early,35.0
men,35.0
whatever,35.0
community,35.0
outside,34.0
facts,34.0
won't,34.0
dad,34.0
minutes,34.0
looked,34.0
hello,34.0
scary,34.0
usually,33.0
break,33.0
dumb,33.0
says,33.0
count,33.0
fu,33.0
itll,33.0
ones,33.0
fight,33.0
weeks,33.0
forward,33.0
totally,33.0
news,33.0
drink,32.0
alone,32.0
forget,32.0
actual,32.0
sweet,32.0
quick,32.0
room,32.0
tweets,32.0
genshin,32.0
experience,32.0
body,32.0
share,32.0
project,32.0
players,32.0
goes,32.0
young,32.0
turn,32.0
wasn't,32.0
hot,32.0
af,32.0
perfect,32.0
forgot,31.0
support,31.0
you've,31.0
phone,31.0
voice,31.0
buy,31.0
write,31.0
tried,31.0
die,31.0
bunch,31.0
add,31.0
under,31.0
//,31.0
gone,31.0
heard,31.0
past,31.0
send,31.0
spooky,30.0
felt,30.0
special,30.0
months,30.0
hahaha,30.0
7,30.0
arent,30.0
via,30.0
parties,30.0
laugh,30.0
drive,30.0
y,30.0
cry,30.0
move,30.0
challenge,30.0
eat,30.0
close,30.0
photo,29.0
nobody,29.0
serious,29.0
giving,29.0
film,29.0
supposed,29.0
moment,29.0
gave,29.0
movies,29.0
stupid,29.0
nah,29.0
hopefully,29.0
needs,29.0
against,29.0
scared,29.0
youtube,29.0
war,29.0
congrats,29.0
memories,29.0
pick,29.0
change,29.0
haven't,29.0
drinking,29.0
words,29.0
future,29.0
social,29.0
piece,28.0
loving,28.0
matter,28.0
throw,28.0
wh,28.0
bought,28.0
15,28.0
wear,28.0
city,28.0
gun,28.0
falls,28.0
horror,28.0
ton,28.0
walk,28.0
cuz,28.0
students,28.0
list,28.0
wouldn't,28.0
kill,28.0
blue,28.0
putting,27.0
shot,27.0
parents,27.0
@joebiden,27.0
9,27.0
joy,27.0
hella,27.0
basically,27.0
sister,27.0
chill,27.0
date,27.0
business,27.0
happen,27.0
death,27.0
woman,27.0
chance,27.0
bitch,27.0
earlier,27.0
ideas,27.0
calling,26.0
yea,26.0
20,26.0
impact,26.0
fr,26.0
missing,26.0
along,26.0
tired,26.0
baseball,26.0
sex,26.0
ways,26.0
dance,26.0
enjoying,26.0
content,26.0
anywhere,26.0
gay,26.0
catch,26.0
@zietray,26.0
rather,26.0
lie,26.0
yay,26.0
folks,26.0
spend,25.0
round,25.0
eyes,25.0
met,25.0
ain't,25.0
whos,25.0
what's,25.0
spent,25.0
running,25.0
wonderful,25.0
anime,25.0
light,25.0
asked,25.0
~,25.0
shoot,25.0
leave,25.0
tv,25.0
dm,25.0
random,25.0
v,25.0
completely,25.0
starts,25.0
heart,25.0
@bts_twt,25.0
longer,25.0
books,25.0
build,25.0
expect,24.0
level,24.0
beta,24.0
12,24.0
sucks,24.0
x,24.0
cat,24.0
cold,24.0
waiting,24.0
type,24.0
means,24.0
adventure,24.0
player,24.0
y'all,24.0
happened,24.0
congratulations,24.0
bed,24.0
plans,24.0
creative,24.0
recommend,24.0
line,24.0
across,24.0
knew,24.0
children,24.0
plus,24.0
+,24.0
w/,24.0
crew,24.0
8,24.0
park,24.0
red,24.0
sense,23.0
dog,23.0
proud,23.0
truly,23.0
ran,23.0
entire,23.0
double,23.0
brother,23.0
ngl,23.0
debate,23.0
wonder,23.0
american,23.0
lose,23.0
bored,23.0
state,23.0
exciting,23.0
interview,23.0
son,23.0
original,23.0
missed,23.0
wtf,23.0
road,23.0
problem,23.0
math,23.0
realize,23.0
pics,23.0
town,23.0
english,23.0
album,23.0
takes,23.0
filled,23.0
you'll,23.0
zoom,23.0
internet,23.0
test,22.0
wit,22.0
thread,22.0
wearing,22.0
grade,22.0
positive,22.0
mask,22.0
smile,22.0
mario,22.0
become,22.0
/,22.0
dark,22.0
pumpkin,22.0
loves,22.0
crush,22.0
anyways,22.0
version,22.0
stories,22.0
human,22.0
dinner,22.0
mostly,22.0
sbmm,22.0
stopped,22.0
brain,22.0
summer,22.0
fighting,22.0
continue,22.0
listening,22.0
learned,22.0
style,22.0
cole,22.0
election,21.0
driving,21.0
wants,21.0
couldnt,21.0
space,21.0
appreciate,21.0
kept,21.0
heres,21.0
(and,21.0
hand,21.0
answer,21.0
pictures,21.0
won,21.0
:/,21.0
knowing,21.0
teams,21.0
career,21.0
possible,21.0
track,21.0
fast,21.0
worth,21.0
conversation,21.0
app,21.0
happening,21.0
feels,21.0
em,21.0
@eef_nestor,21.0
hanging,21.0
liveme:click,21.0
events,21.0
gaming,20.0
laughing,20.0
youll,20.0
wwedraft,20.0
minecraft,20.0
honest,20.0
needed,20.0
often,20.0
abt,20.0
action,20.0
@hlthq,20.0
mental,20.0
etc,20.0
makeup,20.0
picture,20.0
sports,20.0
co,20.0
100%,20.0
extra,20.0
age,20.0
voting,20.0
golf,20.0
ended,20.0
sick,20.0
fortnite,20.0
pc,20.0
fo,20.0
knows,20.0
mini,20.0
based,20.0
short,20.0
tons,20.0
would've,20.0
ruin,20.0
recently,20.0
lucky,20.0
