word,frequency
crazy,46.0
id,46.0
head,46.0
favorite,46.0
far,46.0
found,46.0
against,46.0
vote,46.0
laugh,45.0
heard,45.0
enjoy,45.0
bed,45.0
yesterday,45.0
name,45.0
playlist,45.0
:/,45.0
whats,45.0
house,45.0
feels,45.0
boys,44.0
use,44.0
af,44.0
y,44.0
team,44.0
tomorrow,43.0
woke,43.0
d,43.0
bly,43.0
shes,43.0
each,42.0
aint,42.0
living,42.0
theres,42.0
seems,42.0
police,42.0
won't,42.0
stage,42.0
men,42.0
episode,42.0
p,42.0
mom,41.0
o,41.0
manor,41.0
tears,41.0
5,41.0
tried,41.0
fight,41.0
called,41.0
extremely,41.0
instead,41.0
reading,40.0
single,40.0
human,40.0
school,40.0
yo,40.0
stream,40.0
loved,40.0
horny,40.0
boi,40.0
pay,40.0
feelings,40.0
hug,40.0
smh,40.0
scared,40.0
hour,40.0
others,40.0
killed,40.0
weird,40.0
paid,40.0
lives,40.0
rip,39.0
pathetic,39.0
what's,39.0
brother,39.0
realize,39.0
taking,39.0
supposed,39.0
took,39.0
nobody,39.0
mood,39.0
broke,38.0
missing,38.0
pictures,38.0
rlly,38.0
gay,38.0
matter,37.0
exactly,37.0
cat,37.0
ask,37.0
less,37.0
place,37.0
especially,37.0
knowing,37.0
ugly,36.0
videos,36.0
l,36.0
bored:,36.0
change,36.0
@joebiden,36.0
upset,36.0
tired:,36.0
@treasuremembers,36.0
asf,36.0
move,36.0
:),36.0
anger:,35.0
@cnn,35.0
hungry:,35.0
covid,35.0
social,35.0
buy,35.0
idea,35.0
4,35.0
peace,35.0
late,35.0
fans,35.0
follow,35.0
account,35.0
knows,35.0
agree,35.0
under,35.0
president,34.0
says,34.0
character,34.0
lowkey,34.0
fall,34.0
hurts,34.0
incredibly,34.0
mental,34.0
win,34.0
room,34.0
act,34.0
gave,34.0
absolutely,34.0
child,34.0
forget,34.0
definitely,33.0
second,33.0
depressed,33.0
harry,33.0
f,33.0
sa,33.0
na,33.0
words,33.0
knew,33.0
there's,33.0
worst,33.0
turn,33.0
memories,33.0
irritated:,33.0
whatever,32.0
army,32.0
comes,32.0
proud,32.0
cannot,32.0
phone,32.0
hair,32.0
@stillgray,32.0
lets,32.0
ready,32.0
couldn't,32.0
experience,32.0
happening,32.0
fake,32.0
eat,32.0
means,32.0
indeed,32.0
scary,31.0
brain,31.0
break,31.0
pics,31.0
girls,31.0
clearly,31.0
haha,31.0
close,31.0
among,31.0
genuinely,31.0
cried,31.0
ugh,30.0
fan,30.0
forever,30.0
haunting,30.0
quite,30.0
ones,30.0
meet,30.0
empty,30.0
wasn't,30.0
loss,30.0
government,30.0
early,30.0
sounds,30.0
hand,30.0
bruh,30.0
online,30.0
dream,30.0
party,29.0
10,29.0
hit,29.0
wouldnt,29.0
ha,29.0
bring,29.0
nigga,29.0
open,29.0
suddenly,29.0
imma,29.0
shows,29.0
write,29.0
low,29.0
soul,28.0
picture,28.0
job,28.0
she's,28.0
&gt,28.0
months,28.0
america,28.0
type,28.0
safe,28.0
:(((,28.0
),28.0
later,28.0
wake,28.0
month,28.0
thoughts,28.0
fine,27.0
deserves,27.0
free,27.0
y'all,27.0
fucked,27.0
i'd,27.0
energy,27.0
leaving,27.0
body,27.0
working,27.0
group,27.0
giving,27.0
jimin,27.0
we're,27.0
comfort,27.0
lie,27.0
sitting,27.0
deserve,27.0
finally,27.0
cool,27.0
behind,27.0
attention,27.0
themselves,27.0
side,26.0
top,26.0
taken,26.0
wants,26.0
finish,26.0
health,26.0
looked,26.0
9,26.0
movies,26.0
case,26.0
seriously,26.0
situation,26.0
me:,26.0
waiting,26.0
sound,26.0
ya,26.0
voice,26.0
mine,26.0
sir,26.0
kid,26.0
niggas,26.0
community,25.0
aww,25.0
often,25.0
happens,25.0
lies,25.0
longer,25.0
dumb,25.0
short,25.0
emotional,25.0
kill,25.0
needed,25.0
ended,25.0
sm,25.0
hot,25.0
woman,24.0
joke,24.0
depression,24.0
deep,24.0
due,24.0
weeks,24.0
rather,24.0
