,word,frequency
1481,stop,145.0
1482,part,145.0
1483,better,145.0
1484,said,143.0
1485,literally,142.0
1486,please,142.0
1487,hope,139.0
1488,yes,138.0
1489,live,136.0
1490,cry,136.0
1491,watching,136.0
1492,concert,135.0
1493,other,135.0
1494,youre,135.0
1495,story,134.0
1496,ur,133.0
1497,any,133.0
1498,okay,133.0
1499,year,132.0
1500,rn,129.0
1501,come,129.0
1502,off,129.0
1503,nothing,128.0
1504,could,128.0
1505,while,127.0
1506,news,127.0
1507,hear,126.0
1508,you're,125.0
1509,cause,125.0
1510,2,124.0
1511,where,124.0
1512,those,124.0
1513,thought,124.0
1514,take,123.0
1515,myself,122.0
1516,world,122.0
1517,everyone,121.0
1518,@realdonaldtrump,120.0
1519,doing,119.0
1520,tweet,118.0
1521,god,118.0
1522,years,118.0
1523,show,118.0
1524,into,117.0
1525,ok,117.0
1526,down,116.0
1527,girl,116.0
1528,omg,115.0
1529,anymore,115.0
1530,person,115.0
1531,funny,114.0
1532,find,114.0
1533,already,114.0
1534,most,114.0
1535,another,114.0
1536,best,113.0
1537,crying,113.0
1538,days,113.0
1539,idk,112.0
1540,anything,111.0
1541,big,111.0
1542,trump,111.0
1543,t,111.0
1544,sleep,110.0
1545,talk,110.0
1546,thank,110.0
1547,fact,110.0
1548,keep,110.0
1549,w,109.0
1550,pretty,109.0
1551,real,109.0
1552,remember,108.0
1553,sometimes,108.0
1554,family,108.0
1555,let,108.0
1556,everything,107.0
1557,tell,107.0
1558,bro,106.0
1559,end,106.0
1560,music,105.0
1561,play,105.0
1562,didn't,104.0
1563,seeing,104.0
1564,songs,104.0
1565,new,102.0
1566,away,100.0
1567,damn,99.0
1568,kind,99.0
1569,boy,98.0
1570,used,98.0
1571,before,98.0
1572,which,98.0
1573,hard,98.0
1574,friend,97.0
1575,heart,97.0
1576,mad,96.0
1577,honestly,96.0
1578,help,96.0
1579,tired,96.0
1580,truth,95.0
1581,own,95.0
1582,wish,95.0
1583,n,95.0
1584,hes,94.0
1585,country,94.0
1586,times,94.0
1587,3,93.0
1588,reason,93.0
1589,lost,92.0
1590,ass,92.0
1591,whole,92.0
1592,since,91.0
1593,trying,91.0
1594,wow,91.0
1595,old,90.0
1596,two,90.0
1597,work,90.0
1598,guys,89.0
1599,left,89.0
1600,twitter,89.0
1601,does,88.0
1602,done,88.0
1603,ill,88.0
1604,great,88.0
1605,mean,86.0
1606,listen,86.0
1607,bitch,86.0
1608,b,86.0
1609,anyone,86.0
1610,tonight,86.0
1611,face,85.0
1612,having,85.0
1613,able,84.0
1614,tho,84.0
1615,both,83.0
1616,must,83.0
1617,thinking,83.0
1618,yet,83.0
1619,read,83.0
1620,though,83.0
1621,alone,83.0
1622,&lt,82.0
1623,give,81.0
1624,lmao,81.0
1625,looking,81.0
1626,happened,81.0
1627,without,80.0
1628,home,80.0
1629,saw,80.0
1630,wait,80.0
1631,wrong,79.0
1632,s,79.0
1633,cute,79.0
1634,money,79.0
1635,may,79.0
1636,wont,77.0
1637,went,77.0
1638,try,77.0
1639,reality,76.0
1640,i've,76.0
1641,understand,76.0
1642,looks,76.0
1643,wtf,75.0
1644,guy,75.0
1645,:((,74.0
1646,fun,74.0
1647,he's,74.0
1648,baby,74.0
1649,th,74.0
1650,probably,74.0
1651,video,73.0
1652,few,73.0
1653,beautiful,73.0
1654,believe,72.0
1655,cuz,72.0
1656,r,72.0
1657,pls,72.0
1658,i'll,72.0
1659,care,71.0
1660,isnt,71.0
1661,ppl,70.0
1662,long,70.0
1663,guess,70.0
1664,through,69.0
1665,dog,69.0
1666,black,67.0
1667,doesnt,66.0
1668,angry,66.0
1669,doesn't,66.0
1670,game,66.0
1671,post,65.0
1672,lonely,65.0
1673,sure,65.0
1674,felt,64.0
1675,put,64.0
1676,state,64.0
1677,start,64.0
1678,around,63.0
1679,women,63.0
1680,rest,63.0
1681,bit,63.0
1682,until,63.0
1683,week,62.0
1684,finished,62.0
1685,yourself,62.0
1686,point,62.0
1687,died,62.0
1688,talking,62.0
1689,1,61.0
1690,soon,61.0
1691,dead,61.0
1692,missed,61.0
1693,gets,61.0
1694,super,60.0
1695,m,60.0
1696,ago,60.0
1697,theyre,60.0
1698,tweets,59.0
1699,bye,59.0
1700,least,59.0
1701,else,59.0
1702,once,59.0
1703,told,58.0
1704,past,58.0
1705,maybe,58.0
1706,ending,58.0
1707,enough,58.0
1708,next,57.0
1709,smile,57.0
1710,watched,57.0
1711,media,57.0
1712,coming,57.0
1713,imagine,56.0
1714,excited,56.0
1715,saying,56.0
1716,almost,56.0
1717,kids,56.0
1718,seen,56.0
1719,wanted,56.0
1720,send,56.0
1721,amazing,55.0
1722,leave,55.0
1723,poor,55.0
1724,listening,55.0
1725,hi,55.0
1726,white,55.0
1727,sick,54.0
1728,truly,54.0
1729,c,54.0
1730,tbh,54.0
1731,h,54.0
1732,hurt,54.0
1733,call,54.0
1734,drunk,54.0
1735,abt,53.0
1736,stupid,53.0
1737,tl,53.0
1738,eyes,52.0
1739,moment,52.0
1740,parents,52.0
1741,together,52.0
1742,birthday,52.0
1743,playing,52.0
1744,stuff,52.0
1745,mind,52.0
1746,needs,52.0
1747,either,51.0
1748,isn't,51.0
1749,morning,51.0
1750,stay,51.0
1751,havent,50.0
1752,whenever,50.0
1753,die,50.0
1754,they're,50.0
1755,came,50.0
1756,support,50.0
1757,become,50.0
1758,started,50.0
1759,e,49.0
1760,different,49.0
1761,death,49.0
1762,glad,49.0
1763,high,49.0
1764,lil,49.0
1765,hell,49.0
1766,fr,48.0
1767,gone,48.0
1768,movie,48.0
1769,wasnt,48.0
1770,2020,48.0
1771,bts,48.0
1772,dad,48.0
1773,season,48.0
1774,gotta,48.0
1775,during,48.0
1776,@bts_twt,47.0
1777,thanks,47.0
1778,pain,47.0
1779,couldnt,47.0
1780,young,47.0
1781,happen,47.0
1782,nice,47.0
1783,dude,47.0
1784,might,47.0
1785,hey,46.0
1786,crazy,46.0
1787,id,46.0
1788,head,46.0
1789,favorite,46.0
1790,far,46.0
1791,found,46.0
1792,against,46.0
1793,vote,46.0
1794,laugh,45.0
1795,heard,45.0
1796,enjoy,45.0
1797,bed,45.0
1798,yesterday,45.0
1799,name,45.0
1800,playlist,45.0
1801,:/,45.0
1802,whats,45.0
1803,house,45.0
1804,feels,45.0
1805,boys,44.0
1806,use,44.0
1807,af,44.0
1808,y,44.0
1809,team,44.0
1810,tomorrow,43.0
1811,woke,43.0
1812,d,43.0
1813,bly,43.0
1814,shes,43.0
1815,each,42.0
1816,aint,42.0
1817,living,42.0
1818,theres,42.0
1819,seems,42.0
1820,police,42.0
1821,won't,42.0
1822,stage,42.0
1823,men,42.0
1824,episode,42.0
1825,p,42.0
1826,mom,41.0
1827,o,41.0
1828,manor,41.0
1829,tears,41.0
1830,5,41.0
1831,tried,41.0
1832,fight,41.0
1833,called,41.0
1834,extremely,41.0
1835,instead,41.0
1836,reading,40.0
1837,single,40.0
1838,human,40.0
1839,school,40.0
1840,yo,40.0
1841,stream,40.0
1842,loved,40.0
1843,horny,40.0
1844,boi,40.0
1845,pay,40.0
1846,feelings,40.0
1847,hug,40.0
1848,smh,40.0
1849,scared,40.0
1850,hour,40.0
1851,others,40.0
1852,killed,40.0
1853,weird,40.0
1854,paid,40.0
1855,lives,40.0
1856,rip,39.0
1857,pathetic,39.0
1858,what's,39.0
1859,brother,39.0
1860,realize,39.0
1861,taking,39.0
1862,supposed,39.0
1863,took,39.0
1864,nobody,39.0
1865,mood,39.0
1866,broke,38.0
1867,missing,38.0
1868,pictures,38.0
1869,rlly,38.0
1870,gay,38.0
1871,matter,37.0
1872,exactly,37.0
1873,cat,37.0
1874,ask,37.0
1875,less,37.0
1876,place,37.0
1877,especially,37.0
1878,knowing,37.0
1879,ugly,36.0
1880,videos,36.0
1881,l,36.0
1882,bored:,36.0
1883,change,36.0
1884,@joebiden,36.0
1885,upset,36.0
1886,tired:,36.0
1887,@treasuremembers,36.0
1888,asf,36.0
1889,move,36.0
1890,:),36.0
1891,anger:,35.0
1892,@cnn,35.0
1893,hungry:,35.0
1894,covid,35.0
1895,social,35.0
1896,buy,35.0
1897,idea,35.0
1898,4,35.0
1899,peace,35.0
1900,late,35.0
1901,fans,35.0
1902,follow,35.0
1903,account,35.0
1904,knows,35.0
1905,agree,35.0
1906,under,35.0
1907,president,34.0
1908,says,34.0
1909,character,34.0
1910,lowkey,34.0
1911,fall,34.0
1912,hurts,34.0
1913,incredibly,34.0
1914,mental,34.0
1915,win,34.0
1916,room,34.0
1917,act,34.0
1918,gave,34.0
1919,absolutely,34.0
1920,child,34.0
1921,forget,34.0
1922,definitely,33.0
1923,second,33.0
1924,depressed,33.0
1925,harry,33.0
1926,f,33.0
1927,sa,33.0
1928,na,33.0
1929,words,33.0
1930,knew,33.0
1931,there's,33.0
1932,worst,33.0
1933,turn,33.0
1934,memories,33.0
1935,irritated:,33.0
1936,whatever,32.0
1937,army,32.0
1938,comes,32.0
1939,proud,32.0
1940,cannot,32.0
1941,phone,32.0
1942,hair,32.0
1943,@stillgray,32.0
1944,lets,32.0
1945,ready,32.0
1946,couldn't,32.0
1947,experience,32.0
1948,happening,32.0
1949,fake,32.0
1950,eat,32.0
1951,means,32.0
1952,indeed,32.0
1953,scary,31.0
1954,brain,31.0
1955,break,31.0
1956,pics,31.0
1957,girls,31.0
1958,clearly,31.0
1959,haha,31.0
1960,close,31.0
1961,among,31.0
1962,genuinely,31.0
1963,cried,31.0
1964,ugh,30.0
1965,fan,30.0
1966,forever,30.0
1967,haunting,30.0
1968,quite,30.0
1969,ones,30.0
1970,meet,30.0
1971,empty,30.0
1972,wasn't,30.0
1973,loss,30.0
1974,government,30.0
1975,early,30.0
1976,sounds,30.0
1977,hand,30.0
1978,bruh,30.0
1979,online,30.0
1980,dream,30.0
1981,party,29.0
1982,10,29.0
1983,hit,29.0
1984,wouldnt,29.0
1985,ha,29.0
1986,bring,29.0
1987,nigga,29.0
1988,open,29.0
1989,suddenly,29.0
1990,imma,29.0
1991,shows,29.0
1992,write,29.0
1993,low,29.0
1994,soul,28.0
1995,picture,28.0
1996,job,28.0
1997,she's,28.0
1998,&gt,28.0
1999,months,28.0
2000,america,28.0
2001,type,28.0
2002,safe,28.0
2003,:(((,28.0
2004,),28.0
2005,later,28.0
2006,wake,28.0
2007,month,28.0
2008,thoughts,28.0
2009,fine,27.0
2010,deserves,27.0
2011,free,27.0
2012,y'all,27.0
2013,fucked,27.0
2014,i'd,27.0
2015,energy,27.0
2016,leaving,27.0
2017,body,27.0
2018,working,27.0
2019,group,27.0
2020,giving,27.0
2021,jimin,27.0
2022,we're,27.0
2023,comfort,27.0
2024,lie,27.0
2025,sitting,27.0
2026,deserve,27.0
2027,finally,27.0
2028,cool,27.0
2029,behind,27.0
2030,attention,27.0
2031,themselves,27.0
2032,side,26.0
2033,top,26.0
2034,taken,26.0
2035,wants,26.0
2036,finish,26.0
2037,health,26.0
2038,looked,26.0
2039,9,26.0
2040,movies,26.0
2041,case,26.0
2042,seriously,26.0
2043,situation,26.0
2044,me:,26.0
2045,waiting,26.0
2046,sound,26.0
2047,ya,26.0
2048,voice,26.0
2049,mine,26.0
2050,sir,26.0
2051,kid,26.0
2052,niggas,26.0
2053,community,25.0
2054,aww,25.0
2055,often,25.0
2056,happens,25.0
2057,lies,25.0
2058,longer,25.0
2059,dumb,25.0
2060,short,25.0
2061,emotional,25.0
2062,kill,25.0
2063,needed,25.0
2064,ended,25.0
2065,sm,25.0
2066,hot,25.0
2067,woman,24.0
2068,joke,24.0
2069,depression,24.0
2070,deep,24.0
2071,due,24.0
2072,weeks,24.0
2073,rather,24.0
2074,v,24.0
2075,anyways,24.0
2076,relationship,24.0
2077,taylor,24.0
2078,starting,24.0
2079,worry,24.0
2080,small,24.0
2081,ah,24.0
2082,ily,23.0
2083,cheer,23.0
2084,holding,23.0
2085,father,23.0
2086,performance,23.0
2087,normal,23.0
2088,light,23.0
2089,album,23.0
2090,turned,23.0
2091,/3,23.0
2092,disgusting,23.0
2093,power,23.0
2094,added,23.0
2095,worse,23.0
2096,allowed,23.0
2097,telling,23.0
2098,thinks,23.0
2099,pandemic,23.0
2100,fighting,23.0
2101,stories,23.0
2102,everyday,23.0
2103,word,23.0
2104,sucks,23.0
2105,decided,23.0
2106,@youtube,23.0
2107,era,23.0
2108,anime,23.0
2109,share,23.0
2110,couple,23.0
2111,000,23.0
2112,scene,23.0
2113,goes,22.0
2114,food,22.0
2115,sars,22.0
2116,history,22.0
2117,future,22.0
2118,oomf,22.0
2119,sense,22.0
2120,beyond,22.0
2121,main,22.0
2122,internet,22.0
2123,toxic,22.0
2124,totally,22.0
2125,you'll,22.0
2126,forgot,22.0
2127,run,22.0
2128,trust,22.0
2129,passed,22.0
2130,hold,22.0
2131,shouldnt,22.0
2132,using,22.0
2133,lack,22.0
2134,disappointed,22.0
2135,excuse,22.0
2136,nigeria,22.0
2137,singing,22.0
2138,soo,22.0
2139,sister,22.0
2140,emotions,22.0
2141,important,22.0
2142,son,22.0
2143,protect,22.0
2144,himself,22.0
2145,self,22.0
2146,*sad,22.0
2147,terrible,22.0
2148,shot,22.0
2149,wonder,22.0
2150,tf,22.0
2151,car,22.0
2152,let's,22.0
2153,happiness,22.0
2154,three,22.0
2155,asleep,21.0
2156,issue,21.0
2157,seem,21.0
2158,sweet,21.0
2159,you've,21.0
2160,biden,21.0
2161,acting,21.0
2162,fast,21.0
2163,works,21.0
2164,society,21.0
2165,between,21.0
2166,dear,21.0
2167,mother,21.0
2168,level,21.0
2169,likes,21.0
2170,nah,21.0
2171,shut,21.0
2172,americans,21.0
2173,sooo,21.0
2174,frustrated,21.0
2175,freaking,21.0
2176,haven't,21.0
2177,bored,21.0
2178,followers,21.0
2179,draw,21.0
2180,@mbuhari,21.0
2181,anyway,21.0
2182,bunch,20.0
2183,speak,20.0
2184,exist,20.0
2185,wa,20.0
2186,changed,20.0
2187,stuck,20.0
2188,meant,20.0
2189,cut,20.0
2190,bitches,20.0
2191,lately,20.0
2192,tweet:,20.0
2193,sunday,20.0
2194,anxious,20.0
2195,earlier,20.0
2196,slow,20.0
2197,none,20.0
2198,@cenkuygur,20.0
2199,stan,20.0
2200,@jackposobiec,20.0
2201,number,20.0
2202,characters,20.0
2203,course,20.0
2204,aw,20.0
2205,7,20.0
2206,realized,20.0
2207,desperate,20.0
2208,endsarsnow,20.0
2209,app,20.0
2210,halloween,20.0
2211,american,20.0
2212,hopefully,20.0
2213,hella,20.0
2214,jimoh,20.0
2215,posts,20.0
2216,learn,20.0
2217,wearing,20.0
2218,amount,20.0
2219,horrible,20.0
2220,respect,20.0
2221,everytime,20.0
2222,worth,20.0
2223,comments,19.0
2224,unless,19.0
2225,tweeting,19.0
2226,fat,19.0
2227,vibes,19.0
2228,explain,19.0
2229,business,19.0
2230,sleeping,19.0
2231,puppy,19.0
2232,actual,19.0
2233,children,19.0
2234,dying,19.0
2235,asking,19.0
2236,stand,19.0
2237,mapofthesoulone_d2,19.0
2238,legit,19.0
2239,problems,19.0
2240,@danrather,19.0
2241,reply,19.0
2242,problem,19.0
2243,beat,19.0
2244,series,19.0
2245,re,19.0
2246,posted,19.0
2247,obviously,19.0
2248,fo,19.0
2249,losing,19.0
2250,posting,19.0
2251,g,19.0
2252,security,19.0
2253,fuckin,19.0
2254,aren't,19.0
2255,serious,19.0
2256,simple,19.0
2257,x,19.0
2258,half,19.0
2259,blame,18.0
2260,takes,18.0
2261,rly,18.0
2262,blue,18.0
2263,class,18.0
2264,eating,18.0
2265,perfect,18.0
2266,broken,18.0
2267,ex,18.0
2268,calling,18.0
2269,played,18.0
2270,given,18.0
2271,awake,18.0
2272,born,18.0
2273,confused,18.0
2274,dark,18.0
2275,age,18.0
2276,question,18.0
2277,arent,18.0
2278,moments,18.0
2279,minutes,18.0
2280,ace_onlineconcert,18.0
2281,sending,18.0
2282,@sad_istfied,18.0
2283,attend,18.0
2284,entire,18.0
2285,check,18.0
2286,sexy,18.0
2287,treasure,18.0
2288,content,18.0
2289,liked,18.0
2290,noticed,18.0
2291,@smitaprakash,18.0
2292,line,18.0
2293,positive,18.0
2294,straight,18.0
2295,supporters,18.0
2296,met,18.0
2297,condolences,18.0
2298,@corpse_husband,18.0
2299,completely,18.0
2300,growing,18.0
2301,lights,18.0
2302,swear,18.0
2303,yea,18.0
2304,walk,17.0
2305,goodnight,17.0
2306,suffering,17.0
2307,ca,17.0
2308,//,17.0
2309,soft,17.0
2310,tv,17.0
2311,con,17.0
2312,alright,17.0
2313,asked,17.0
2314,@nbcsnl,17.0
2315,pray,17.0
2316,election,17.0
2317,order,17.0
2318,acc,17.0
2319,grow,17.0
2320,netflix,17.0
2321,mostly,17.0
2322,ik,17.0
2323,lose,17.0
2324,political,17.0
2325,@official_ace7,17.0
2326,wear,17.0
2327,minute,17.0
2328,keeps,17.0
2329,cares,17.0
2330,huge,17.0
2331,goodbye,17.0
2332,affairs,17.0
2333,hands,17.0
2334,sit,17.0
2335,hates,17.0
2336,nor,17.0
2337,sadder,17.0
2338,somebody,17.0
2339,mask,17.0
2340,jokes,17.0
2341,today:,17.0
2342,nation,17.0
2343,folks,17.0
2344,*,17.0
2345,chance,17.0
2346,via,17.0
2347,noooo,17.0
2348,walking,17.0
2349,whether,16.0
2350,older,16.0
2351,holy,16.0
2352,fear,16.0
2353,tattoo,16.0
2354,ima,16.0
2355,facts,16.0
2356,prayers,16.0
2357,tha,16.0
2358,csk,16.0
2359,unfortunately,16.0
2360,wouldve,16.0
2361,fully,16.0
2362,awful,16.0
2363,october,16.0
2364,answer,16.0
2365,list,16.0
2366,weather,16.0
2367,players,16.0
2368,wouldn't,16.0
2369,outside,16.0
2370,book,16.0
2371,attack,16.0
2372,catch,16.0
2373,=,16.0
2374,front,16.0
2375,writing,16.0
2376,vibe,16.0
2377,moots,16.0
2378,sent,16.0
2379,youtube,16.0
2380,gn,16.0
2381,streaming,16.0
2382,killing,16.0
2383,except,16.0
2384,ngl,16.0
2385,dance,16.0
2386,10%,16.0
2387,bear,16.0
2388,known,16.0
2389,huh,16.0
2390,kept,16.0
2391,tiny,16.0
2392,dm,16.0
2393,alive,16.0
2394,edit,16.0
2395,court,16.0
2396,date,16.0
2397,politics,16.0
2398,antifa,16.0
2399,update,16.0
2400,virus,16.0
2401,k,16.0
2402,hearing,16.0
2403,gotten,16.0
2404,stressed,15.0
2405,concerts,15.0
2406,hits,15.0
2407,deal,15.0
2408,period,15.0
2409,listened,15.0
2410,bcs,15.0
2411,slept,15.0
2412,dr,15.0
2413,comment,15.0
2414,happy:,15.0
2415,ran,15.0
2416,fire,15.0
2417,documentary,15.0
2418,itll,15.0
2419,heartbreaking,15.0
2420,@tedcruz,15.0
2421,justice,15.0
2422,thread,15.0
2423,bag,15.0
2424,text,15.0
2425,soooo,15.0
2426,company,15.0
2427,showed,15.0
2428,honest,15.0
2429,inside,15.0
2430,moved,15.0
2431,lied,15.0
2432,endpolicebrutality,15.0
2433,snl,15.0
2434,pic,15.0
2435,replies,15.0
2436,favourite,15.0
2437,sleepy,15.0
2438,event,15.0
2439,wh,15.0
2440,possible,15.0
2441,tough,15.0
2442,mr,15.0
2443,ka,15.0
2444,hugs,15.0
2445,gives,15.0
2446,20,15.0
2447,lovely,15.0
2448,loves,15.0
2449,youve,15.0
2450,ig,15.0
2451,continue,15.0
2452,choice,15.0
2453,gun,15.0
2454,:&lt,15.0
2455,save,15.0
2456,@policeng,15.0
2457,pick,15.0
2458,tht,14.0
2459,across,14.0
2460,hello,14.0
2461,add,14.0
2462,/,14.0
2463,st,14.0
2464,busy,14.0
2465,control,14.0
2466,tiktok,14.0
2467,failed,14.0
2468,breaks,14.0
2469,law,14.0
2470,decision,14.0
2471,dick,14.0
2472,instagram,14.0
2473,sadly,14.0
2474,retweet,14.0
2475,weekend,14.0
2476,wonderful,14.0
2477,notice,14.0
2478,version,14.0
2479,brought,14.0
2480,badly,14.0
2481,jack,14.0
2482,link,14.0
2483,india,14.0
2484,lady,14.0
2485,laughing,14.0
2486,mo,14.0
2487,chapter,14.0
2488,fell,14.0
2489,rich,14.0
2490,usually,14.0
2491,tour,14.0
2492,throw,14.0
2493,popular,14.0
2494,blood,14.0
2495,pass,14.0
2496,following,14.0
2497,painful,14.0
2498,peoples,14.0
2499,message,14.0
2500,hang,14.0
2501,protest,14.0
2502,drink,14.0
2503,sad:,14.0
2504,pro,14.0
2505,bill,14.0
2506,lyrics,14.0
2507,piece,14.0
2508,basically,14.0
2509,strong,14.0
2510,jus,14.0
2511,@donwinslow,14.0
2512,mf,14.0
2513,sadness,14.0
2514,sing,14.0
2515,chicken,14.0
2516,drop,14.0
2517,ruined,14.0
2518,um,14.0
2519,ways,13.0
2520,join,13.0
2521,@debramessing,13.0
2522,@mrandyngo,13.0
2523,hahaha,13.0
2524,barely,13.0
2525,reach,13.0
2526,werent,13.0
2527,la,13.0
2528,sad:(,13.0
2529,quotes,13.0
2530,ma,13.0
2531,college,13.0
2532,bf,13.0
2533,drawing,13.0
2534,public,13.0
2535,written,13.0
2536,nooo,13.0
2537,grew,13.0
2538,twice,13.0
2539,set,13.0
2540,passing,13.0
2541,yep,13.0
2542,bought,13.0
2543,deadass,13.0
2544,shall,13.0
2545,appreciate,13.0
2546,strange,13.0
2547,moon,13.0
2548,games,13.0
2549,recently,13.0
2550,mess,13.0
2551,evil,13.0
2552,desperately,13.0
2553,absolute,13.0
2554,youll,13.0
2555,majority,13.0
2556,violence,13.0
2557,grown,13.0
2558,twt,13.0
2559,bout,13.0
2560,we've,13.0
2561,random,13.0
2562,showing,13.0
2563,nights,13.0
2564,blocked,13.0
2565,lmfao,13.0
2566,@enhypen_members,13.0
2567,hill,13.0
2568,disappointing,13.0
2569,blm,13.0
2570,cancer,13.0
2571,ms,13.0
2572,drama,13.0
2573,hide,13.0
2574,:((((,13.0
2575,immediately,13.0
2576,insane,13.0
2577,talked,13.0
2578,forward,13.0
2579,@,13.0
2580,emotionally,13.0
2581,waste,13.0
2582,certain,13.0
2583,everybody,13.0
2584,club,13.0
2585,wanting,13.0
2586,shame,13.0
2587,admit,13.0
2588,deserved,12.0
2589,taught,12.0
2590,eye,12.0
2591,middle,12.0
2592,seconds,12.0
2593,j,12.0
2594,yup,12.0
2595,youd,12.0
2596,issues,12.0
2597,switch,12.0
2598,mv,12.0
2599,tw,12.0
2600,childhood,12.0
2601,youth,12.0
2602,accept,12.0
2603,pretend,12.0
2604,racist,12.0
2605,promise,12.0
2606,clips,12.0
2607,lead,12.0
2608,smiling,12.0
2609,emoji,12.0
2610,heartbroken,12.0
2611,peaceful,12.0
2612,co,12.0
2613,towards,12.0
2614,bright,12.0
2615,unfortunate,12.0
2616,generation,12.0
2617,role,12.0
2618,lucky,12.0
2619,brainwashed,12.0
2620,hilarious,12.0
2621,depressing,12.0
2622,ho,12.0
2623,local,12.0
2624,joy,12.0
2625,loud,12.0
2626,neither,12.0
2627,special,12.0
2628,active,12.0
2629,starts,12.0
2630,putting,12.0
2631,moving,12.0
2632,:d,12.0
2633,fish,12.0
2634,naruto,12.0
2635,views,12.0
2636,reminder,12.0
2637,emo,12.0
2638,@cassandrarules,12.0
2639,etc,12.0
2640,shoes,12.0
2641,tryna,12.0
2642,somehow,12.0
2643,nigerian,12.0
2644,hero,12.0
2645,pissed,12.0
2646,places,12.0
2647,allah,12.0
2648,suck,12.0
2649,boyfriend,12.0
2650,dis,12.0
2651,lord,12.0
2652,voting,12.0
2653,ignore,12.0
2654,pero,12.0
2655,families,12.0
2656,tag,12.0
2657,space,12.0
2658,guard,12.0
2659,episodes,12.0
2660,daddy,11.0
2661,cancelled,11.0
2662,box,11.0
2663,cover,11.0
2664,stayed,11.0
2665,trending,11.0
2666,reminded,11.0
2667,cus,11.0
2668,parts,11.0
2669,spent,11.0
2670,current,11.0
2671,congress,11.0
2672,@denverpolice,11.0
2673,animal,11.0
2674,nowhere,11.0
2675,female,11.0
2676,apart,11.0
2677,leader,11.0
2678,weak,11.0
2679,fair,11.0
2680,):,11.0
2681,annoying,11.0
2682,personality,11.0
2683,partner,11.0
2684,bet,11.0
2685,@instablog9ja,11.0
2686,clear,11.0
2687,involved,11.0
2688,mi,11.0
2689,study,11.0
2690,bday,11.0
2691,indian,11.0
2692,willing,11.0
2693,joking,11.0
2694,sex,11.0
2695,brothers,11.0
2696,wrote,11.0
2697,trash,11.0
2698,daily,11.0
2699,racism,11.0
2700,doctor,11.0
2701,@charliekirk11,11.0
2702,christmas,11.0
2703,clown,11.0
2704,:c,11.0
2705,ain't,11.0
2706,based,11.0
2707,masks,11.0
2708,bestie,11.0
2709,isiaq,11.0
2710,unit,11.0
2711,humans,11.0
2712,cries,11.0
2713,dancing,11.0
2714,coffee,11.0
2715,simply,11.0
2716,plus,11.0
2717,@billilee_,11.0
2718,office,11.0
2719,perform,11.0
2720,coz,11.0
2721,tragic,11.0
2722,reminds,11.0
2723,idiots,11.0
2724,liking,11.0
2725,hungry,11.0
2726,di,11.0
2727,embarrassing,11.0
2728,photos,11.0
2729,lmaoooo,11.0
2730,report,11.0
2731,till,11.0
2732,struggling,11.0
2733,rally,11.0
2734,here's,11.0
2735,easily,11.0
2736,murder,11.0
2737,heavy,11.0
2738,gf,11.0
2739,dat,11.0
2740,thi,11.0
2741,saving,11.0
2742,private,11.0
2743,although,11.0
2744,guarantee,11.0
2745,industry,11.0
2746,numbers,11.0
2747,ar,11.0
2748,irl,11.0
2749,stopped,11.0
2750,husband,11.0
2751,awww,11.0
2752,luck,11.0
2753,minimum,11.0
2754,pr,11.0
2755,ft,11.0
2756,rain,11.0
2757,cold,11.0
2758,drinking,11.0
2759,afraid,11459.0
2760,to,8202.0
2761,the,6928.0
2762,of,6365.0
2763,i,6283.0
2764,and,4170.0
2765,a,4011.0
2766,you,3981.0
2767,be,3695.0
2768,is,3634.0
2769,are,2977.0
2770,not,2632.0
2771,that,2545.0
2772,it,2385.0
2773,im,2143.0
2774,in,2107.0
2775,for,1860.0
2776,i'm,1779.0
2777,but,1776.0
2778,this,1693.0
2779,so,1660.0
2780,my,1612.0
2781,they,1499.0
2782,he,1401.0
2783,if,1351.0
2784,have,1347.0
2785,was,1332.0
2786,we,1248.0
2787,me,1177.0
2788,what,1168.0
2789,on,1114.0
2790,with,1091.0
2791,people,1084.0
2792,your,1018.0
2793,dont,972.0
2794,don't,959.0
2795,will,958.0
2796,just,939.0
2797,do,916.0
2798,like,900.0
2799,all,883.0
2800,because,863.0
2801,out,797.0
2802,am,790.0
2803,no,760.0
2804,as,758.0
2805,or,745.0
2806,who,725.0
2807,why,718.0
2808,too,705.0
2809,when,687.0
2810,at,674.0
2811,know,661.0
2812,its,637.0
2813,about,634.0
2814,get,610.0
2815,one,602.0
2816,his,589.0
2817,up,585.0
2818,being,582.0
2819,trump,561.0
2820,would,549.0
2821,can,525.0
2822,never,516.0
2823,has,515.0
2824,from,513.0
2825,them,509.0
2826,how,506.0
2827,their,501.0
2828,now,500.0
2829,more,494.0
2830,think,491.0
2831,been,475.0
2832,want,475.0
2833,she,463.0
2834,there,459.0
2835,say,458.0
2836,it's,431.0
2837,an,428.0
2838,by,412.0
2839,him,407.0
2840,love,404.0
2841,very,398.0
2842,go,395.0
2843,going,386.0
2844,us,375.0
2845,our,374.0
2846,really,372.0
2847,her,362.0
2848,even,362.0
2849,should,358.0
2850,@realdonaldtrump,353.0
2851,time,352.0
2852,were,351.0
2853,only,346.0
2854,you're,342.0
2855,need,338.0
2856,see,334.0
2857,always,332.0
2858,ask,326.0
2859,some,325.0
2860,-,322.0
2861,right,318.0
2862,take,313.0
2863,youre,307.0
2864,help,306.0
2865,make,304.0
2866,someone,296.0
