,word,frequency
363,wanted,50.0
364,rest,50.0
365,find,50.0
366,anything,50.0
367,soon,50.0
368,ill,50.0
369,shit,50.0
370,celebrate,50.0
371,place,49.0
372,those,49.0
373,whole,49.0
374,hes,49.0
375,which,49.0
376,belated,49.0
377,@johnlennon,49.0
378,yang,49.0
379,school,49.0
380,tomorrow,48.0
381,remember,48.0
382,start,48.0
383,done,48.0
384,down,48.0
385,myself,48.0
386,x,48.0
387,@sguybray,48.0
388,hour,47.0
389,real,47.0
390,where,47.0
391,oct,47.0
392,looking,47.0
393,each,47.0
394,),46.0
395,video,46.0
396,watch,46.0
397,check,46.0
398,nothing,46.0
399,face,46.0
400,maknae,46.0
401,does,46.0
402,enough,46.0
403,came,45.0
404,loved,45.0
405,angel,45.0
406,sir,45.0
407,ha,45.0
408,fan,45.0
409,o,44.0
410,here's,44.0
411,post,44.0
412,play,44.0
413,gintoki,44.0
414,coming,43.0
415,g,43.0
416,stop,43.0
417,pls,43.0
418,sunshine,43.0
419,anniv,43.0
420,@emrazz,43.0
421,use,43.0
422,follow,43.0
423,started,43.0
424,guy,43.0
425,ily,43.0
426,wayv,42.0
427,9,42.0
428,lots,42.0
429,yo,42.0
430,peace,42.0
431,continue,42.0
432,born,42.0
433,news,41.0
434,join,41.0
435,went,41.0
436,tonight,41.0
437,feeling,41.0
438,clc,41.0
439,twitter,41.0
440,whatever,41.0
441,r,41.0
442,read,40.0
443,cool,40.0
444,put,40.0
445,didn't,40.0
446,5m,40.0
447,actually,40.0
448,halloween,40.0
449,thankful,39.0
450,ago,39.0
451,found,39.0
452,able,39.0
453,rn,39.0
454,hate,39.0
455,@brentymanalo,39.0
456,few,39.0
457,mom,39.0
458,game,39.0
459,gorgeous,39.0
460,fucking,39.0
461,until,39.0
462,y,38.0
463,didnt,38.0
464,y'all,38.0
465,noya,38.0
466,dream,38.0
467,11:11,38.0
468,away,38.0
469,thought,38.0
470,friyay,37.0
471,anyone,37.0
472,johnlennon,37.0
473,ilysm,37.0
474,p,37.0
475,woman,37.0
476,bad,36.0
477,f,36.0
478,welcome,36.0
479,else,36.0
480,dad,36.0
481,imagine,36.0
482,country,36.0
483,kids,36.0
484,idk,36.0
485,talk,36.0
486,saw,36.0
487,erickson,36.0
488,you've,35.0
489,tweet,35.0
490,bit,35.0
491,cause,35.0
492,theyre,35.0
493,via,35.0
494,nishinoya,35.0
495,@ellis_crane,35.0
496,though,35.0
497,try,35.0
498,filled,34.0
499,far,34.0
500,gets,34.0
501,least,34.0
502,naruto,34.0
503,must,34.0
504,th,34.0
505,kind,34.0
506,na,34.0
507,@suzy,33.0
508,fuck,33.0
509,watching,33.0
510,everybody,33.0
511,15,33.0
512,everyday,33.0
513,forget,33.0
514,20,33.0
515,national,33.0
516,33,33.0
517,voice,32.0
518,yesterday,32.0
519,yet,32.0
520,send,32.0
521,@,32.0
522,@pisdi94_96,32.0
523,book,32.0
524,king,32.0
525,reason,32.0
526,top,32.0
527,sometimes,32.0
528,young,32.0
529,positive,32.0
530,listen,32.0
531,returns,32.0
532,moment,32.0
533,singer,31.0
534,dude,31.0
535,house,31.0
536,e,31.0
537,fam,31.0
538,felt,31.0
539,giving,31.0
540,i'd,31.0
541,uganda,31.0
542,d,31.0
543,@gkittle46,30.0
544,story,30.0
545,missed,30.0
546,@nctsmtown,30.0
547,bring,30.0
548,without,30.0
549,perfect,30.0
550,johnlennon80,30.0
551,fall,30.0
552,dm,30.0
553,sharing,30.0
554,ok,30.0
555,legend,30.0
556,actor,30.0
557,class,30.0
558,believe,30.0
559,songs,29.0
560,birth,29.0
561,bc,29.0
562,dreams,29.0
563,announce,29.0
564,matter,29.0
565,cutie,29.0
566,job,29.0
567,actress,29.0
568,heres,29.0
569,name,29.0
570,talking,29.0
571,@bsw5020,29.0
572,during,29.0
573,second,29.0
574,yay,29.0
575,blessings,29.0
576,album,29.0
577,bb,28.0
578,alone,28.0
579,almost,28.0
580,endsars,28.0
581,lucky,28.0
582,advance,28.0
583,trying,28.0
584,son,28.0
585,:d,28.0
586,living,28.0
587,service,28.0
588,says,28.0
589,@realdonaldtrump,28.0
590,others,28.0
591,l,28.0
592,doesn't,28.0
593,celebrating,28.0
594,playing,28.0
595,you'll,28.0
596,community,28.0
597,sleep,27.0
598,sm,27.0
599,months,27.0
600,understand,27.0
601,ones,27.0
602,either,27.0
603,early,27.0
604,small,27.0
605,food,27.0
606,1st,27.0
607,soul,27.0
608,season,27.0
609,theres,27.0
610,trump,27.0
611,mr,27.0
612,mental,27.0
613,probably,26.0
614,pay,26.0
615,mind,26.0
616,nct,26.0
617,monday,26.0
618,known,26.0
619,incredible,26.0
620,shes,26.0
621,ready,26.0
622,sending,26.0
623,course,26.0
624,cry,26.0
625,hours,26.0
626,strong,25.0
627,k,25.0
628,yours,25.0
629,walk,25.0
630,main,25.0
631,seen,25.0
632,thinking,25.0
633,funny,25.0
634,ahead,25.0
635,tho,25.0
636,character,25.0
637,light,25.0
638,&gt,25.0
639,couple,25.0
640,side,25.0
641,turned,25.0
642,break,25.0
643,money,25.0
644,gift,25.0
645,reading,25.0
646,die,25.0
647,request,25.0
648,greatest,25.0
649,literally,25.0
650,might,24.0
651,taking,24.0
652,@lindadjones702,24.0
653,/,24.0
654,there's,24.0
655,damn,24.0
656,kinda,24.0
657,followers,24.0
658,@mrssosbourne,24.0
659,cake,24.0
660,reality,24.0
661,ass,24.0
662,future,24.0
663,account,24.0
664,meet,24.0
665,guess,24.0
666,@enhypen_members,24.0
667,sister,24.0
668,tgif,24.0
669,later,24.0
670,party,24.0
671,single,24.0
672,nation's,23.0
673,waiting,23.0
674,means,23.0
675,white,23.0
676,group,23.0
677,truly,23.0
678,babe,23.0
679,told,23.0
680,saying,23.0
681,@positivesteven,23.0
682,international,23.0
683,fantastic,23.0
684,honestly,23.0
685,dance,23.0
686,forward,23.0
687,less,23.0
688,used,23.0
689,age,23.0
690,gone,23.0
691,different,23.0
692,create,23.0
693,picture,23.0
694,business,23.0
695,libra,23.0
696,leave,23.0
697,women,22.0
698,7,22.0
699,haha,22.0
700,lil,22.0
701,quite,22.0
702,office,22.0
703,spend,22.0
704,content,22.0
705,@ecr9495,22.0
706,wants,22.0
707,@pledis_17,22.0
708,appreciate,22.0
709,won,22.0
710,@mtv,22.0
711,bella,22.0
712,lmao,22.0
713,definitely,22.0
714,trigger,22.0
715,art,22.0
716,6,22.0
717,success,22.0
718,bringing,21.0
719,@youtube,21.0
720,4ever,21.0
721,youve,21.0
722,stream,21.0
723,hopefully,21.0
724,hell,21.0
725,ppl,21.0
726,cutest,21.0
727,grow,21.0
728,soo,21.0
729,goes,21.0
730,arent,21.0
731,human,21.0
732,open,21.0
733,jimin,21.0
734,isn't,21.0
735,wow,21.0
736,photo,21.0
737,10th,21.0
738,tweets,21.0
739,past,21.0
740,tired,21.0
741,skin,21.0
742,guerrero,21.0
743,eat,21.0
744,80,21.0
745,crying,21.0
746,hbdrakulpreet,21.0
747,luck,21.0
748,chance,21.0
749,@bellahadid,21.0
750,seems,21.0
751,retirement,21.0
752,pic,21.0
753,called,21.0
754,inspiration,21.0
755,memories,21.0
756,behind,21.0
757,debut,20.0
758,taiwan,20.0
759,bestest,20.0
760,black,20.0
761,movie,20.0
762,between,20.0
763,customer,20.0
764,given,20.0
765,fav,20.0
766,four,20.0
767,met,20.0
768,b-days:happy,20.0
769,happen,20.0
770,anymore,20.0
771,coffee,20.0
772,boss,20.0
773,they're,20.0
774,feels,20.0
775,she's,20.0
776,concert,20.0
777,dog,20.0
778,@rakulpreet,20.0
779,happiest,20.0
780,turn,20.0
781,la,20.0
782,ma,20.0
783,brings,20.0
784,kid,20.0
785,instagram,20.0
786,ask,20.0
787,starting,20.0
788,worked,20.0
789,deserves,20.0
790,xx,20.0
791,canadian,20.0
792,allah,20.0
793,power,20.0
794,bright,20.0
795,enjoyed,20.0
796,cover,20.0
797,change,20.0
798,nigga,20.0
799,cheers,20.0
800,aww,20.0
801,thread,20.0
802,mood,20.0
803,doesnt,20.0
804,youll,20.0
805,@jiminmylifeeee_,19.0
806,head,19.0
807,thankyou,19.0
808,fridaylivestream,19.0
809,comes,19.0
810,stan,19.0
811,inside,19.0
812,pictures,19.0
813,lesbian,19.0
814,answer,19.0
815,v,19.0
816,men,19.0
817,fine,19.0
818,move,19.0
819,choice,19.0
820,deserved,19.0
821,wife,19.0
822,ah,19.0
823,lives,19.0
824,seoul,19.0
825,fellow,19.0
826,successful,19.0
827,pill,19.0
828,knew,19.0
829,bts,18.0
830,point,18.0
831,email,18.0
832,episode,18.0
833,message,18.0
834,update,18.0
835,american,18.0
836,happened,18.0
837,20th,18.0
838,eyes,18.0
839,idea,18.0
840,loving,18.0
841,closed,18.0
842,bitch,18.0
843,tiktok,18.0
844,totally,18.0
845,visit,18.0
846,photos,18.0
847,latest,18.0
848,return,18.0
849,genuinely,18.0
850,buy,18.0
851,left,18.0
852,busy,18.0
853,mine,18.0
854,piece,18.0
855,goat,18.0
856,everycallerwins,18.0
857,stuff,18.0
858,rapper,18.0
859,happier,18.0
860,city,18.0
861,wedding,18.0
862,covid,18.0
863,hoping,17.0
864,singing,17.0
865,married,17.0
866,questions,17.0
867,won't,17.0
868,holy,17.0
869,@realgdt,17.0
870,luna,17.0
871,reply,17.0
872,laugh,17.0
873,|,17.0
874,re,17.0
875,room,17.0
876,we'll,17.0
877,daily:,17.0
878,26th,17.0
879,gave,17.0
880,@heislappy,17.0
881,holiday,17.0
882,short,17.0
883,high,17.0
884,whenever,17.0
885,members,17.0
886,worry,17.0
887,club,17.0
888,fact,17.0
889,following,17.0
890,ptg,17.0
891,btw,17.0
892,anyways,17.0
893,vote,17.0
894,@arashi5official,17.0
